ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total Combatientes	Total Civiles	Total Civiles y Combatientes	Total de Víctimas del Caso	Tipo de Armas	Tipo de Evento	Total Civiles y Combatientes Heridos	Latitud	Longitud
445357		1990	06	01	13744	SIMITI	BOLIVAR	MAGDALENA MEDIO	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	7.954176376	-73.94731196
445358		1990	06	21	13810	TIQUISIO	BOLIVAR	MAGDALENA MEDIO	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	8.557741117	-74.26354688
445359		1990	09	27	86749	SIBUNDOY	PUTUMAYO	ALTO PUTUMAYO	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	1.200115733	-76.91748216
445360		1990	10	02	54680	SANTIAGO	NORTE DE SANTANDER	PROVINCIA DE RICAURTE	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	7.86516264	-72.71661777
445361		1990	11	12	41020	ALGECIRAS	HUILA	CENTRO DEL HUILA	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	2.522447597	-75.31537288
445362		1990	12	24	05649	SAN CARLOS	ANTIOQUIA	ORIENTE ANTIOQUEÑO	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	6.187991569	-74.98795256
534333		1990	08	31	54820	TOLEDO	NORTE DE SANTANDER	SURORIENTE DE NORTE DE SANTANDER	AFECTACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	3	3	MUNICIONES SIN EXPLOTAR  MUSE 	AFECTACIÓN POR MUSE	0	7.310031828	-72.48510732
577292		1990	09	19	05893	YONDO	ANTIOQUIA	MAGDALENA MEDIO	ATENTADO	GRUPO ARMADO NO IDENTIFICADO	PRESENCIA GAO SIN ATRIBUCIÓN	0	0	0	0	0	0	0	0	0			7	0	7	7	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	7.003940734	-73.91245795
294124		1991	12	16	13006	ACHI	BOLIVAR	LA MOJANA	ATENTADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	1	8.569110393	-74.55706395
294125		1991	06	01	13744	SIMITI	BOLIVAR	MAGDALENA MEDIO	ATENTADO	GUERRILLA	ELN	0	0	0	0	0	0	0	0	0			0	0	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	1	7.954176376	-73.94731196
294126		1991	04	16	13458	MONTECRISTO	BOLIVAR	LA MOJANA	ATENTADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	8.297136275	-74.47170385
294127		1991	01	17	73043	ANZOATEGUI	TOLIMA	NORTE DEL TOLIMA	ATENTADO	AGENTE DEL ESTADO	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			0	0	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	1	4.627473618	-75.09645074
300124		1991	12	14	68235	EL CARMEN DE CHUCURI	SANTANDER	MAGDALENA MEDIO	ATENTADO	GUERRILLA	ELN	0	0	0	0	0	0	0	0	0			0	0	0	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	6.697911451	-73.51126774
300127		1991	11	21	68235	EL CARMEN DE CHUCURI	SANTANDER	MAGDALENA MEDIO	ATENTADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	6.697911451	-73.51126774
