ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Grupo Armado 1	Descripción Grupo Armado 1	Grupo Armado 2	Descripción Grupo Armado 2	Grupo Armado 3	Descripción Grupo Armado 3	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Grupo al que Pertenecen los Capturados	Capturados	Escudo Humano	Lesionados Combatientes	Militares	Policías	Otras Fuerzas Armadas Estatales	Agentes del Estado Sin Información	Total Agentes del Estado	Guerrilleros	Paramilitares	Grupos Posdesmovilización	Combatientes Sin Información	Otros Grupos Armados Organizados	Total Combatientes de Grupos Armados Organizados	Total Combatientes	Personas Sin Información	Total Civiles	Ventaja Militar	Total de Víctimas del Caso	Latitud	Longitud
34719	CR003064	1991	01	21	54670	SAN CALIXTO	NORTE DE SANTANDER	CATATUMBO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GRUPOS ARMADOS ORGANIZADOS	0	8.40015189	-73.20605269
34720	CR003065	1991	02	05	76275	FLORIDA	VALLE DEL CAUCA	SUR DEL VALLE	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	0	1	0				0	0	2	0	1	0	0	1	1	0	0	0	0	1	2	0	0	GRUPOS ARMADOS ORGANIZADOS	2	3.323918106	-76.23450174
34721	CR003066	1991	02	07	54051	ARBOLEDAS	NORTE DE SANTANDER	CENTRO DE NORTE DE SANTANDER	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GRUPOS ARMADOS ORGANIZADOS	0	7.64297044	-72.79887452
34722	CR003067	1991	03	06	95025	EL RETORNO	GUAVIARE	ARIARI GUAYABERO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	0	0	0				0	0	6	0	1	0	0	1	0	0	0	0	0	0	1	0	0	GRUPOS ARMADOS ORGANIZADOS	1	2.330161549	-72.62718599
34723		1991	03	08	19256	EL TAMBO	CAUCA	NORTE DEL CAUCA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	1	0	0				0	0	3	0	1	0	0	1	0	0	0	0	0	0	1	0	0	GRUPOS ARMADOS ORGANIZADOS	1	2.45137136	-76.81077225
34724	CR003068	1991	03	17	76130	CANDELARIA	VALLE DEL CAUCA	SUR DEL VALLE	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	3	0	0				0	0	5	0	3	0	0	3	3	0	0	0	0	3	6	0	1	GRUPOS ARMADOS ORGANIZADOS	7	3.407766466	-76.34642891
34725	CR003069	1991	03	20	68720	SANTA HELENA DEL OPON	SANTANDER	MAGDALENA MEDIO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	0	0	0				0	0	3	0	3	0	0	3	0	0	0	0	0	0	3	0	0	GRUPOS ARMADOS ORGANIZADOS	3	6.33964535	-73.61679327
34726	CR003070	1991	03	30	05315	GUADALUPE	ANTIOQUIA	NORTE DE ANTIOQUIA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	1	0				0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	GRUPOS ARMADOS ORGANIZADOS	3	6.814263455	-75.24001859
34727	CR003072	1991	04	17	41359	ISNOS	HUILA	SUR DEL HUILA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	1	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FUERZAS ARMADAS ESTATALES	0	1.92946706	-76.21763745
34728	CR003073	1991	04	27	68169	CHARTA	SANTANDER	PROVINCIA DE SOTO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	0	0				0	0	5	0	1	0	0	1	0	0	0	0	0	0	1	0	0	GRUPOS ARMADOS ORGANIZADOS	1	7.280820473	-72.96879846
34729	CR018466	1991	05	13	85400	TAMARA	CASANARE	PIEDEMONTE LLANERO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	0	0				0	0	8	0	2	0	0	2	0	0	0	0	0	0	2	0	2	GRUPOS ARMADOS ORGANIZADOS	4	5.829826597	-72.16182524
34730	CR003074	1991	05	16	13473	MORALES	BOLIVAR	MAGDALENA MEDIO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	0	0				0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	GRUPOS ARMADOS ORGANIZADOS	1	8.276306771	-73.86814048
