ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total de Víctimas del Caso	Tipo de Armas	Latitud	Longitud
359703	CR040005	0000	00	00	73226	CUNDAY	TOLIMA	SUMAPAZ	RETENCIÓN	GUERRILLA	NO IDENTIFICADA	1	1	0	0	0	0	0	0	1	TRABAJO DOMÉSTICO FORZADO		1	ND	4.059259258	-74.69222722
359704		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359705		0000	00	00	13268	EL PEÑON	BOLIVAR	SUR DE BOLIVAR	DESCONOCIDA	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	ND	8.988219476	-73.9494155
359706		0000	00	00	76109	BUENAVENTURA	VALLE DEL CAUCA	ANDEN PACIFICO SUR	DESCONOCIDA	GRUPO POSDESMOVILIZACIÓN	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			1	ND	3.875802437	-77.0117402
359707		0000	00	00	27430	MEDIO BAUDO	CHOCO	LITORAL PACIFICO	DESCONOCIDA	GRUPO POSDESMOVILIZACIÓN	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			1	ND	5.193563954	-76.94960604
359708		0000	00	00	13810	TIQUISIO	BOLIVAR	MAGDALENA MEDIO	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	PRESENCIA GAO SIN ATRIBUCIÓN	0	0	0	0	0	0	0	0	0			1	ND	8.557741117	-74.26354688
359709	CR040080	0000	00	00	68615	RIONEGRO	SANTANDER	MAGDALENA MEDIO	COERCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	0	0	0	0	0			1	ND	7.607273437	-73.57613564
359712		0000	00	00	81794	TAME	ARAUCA	SARARE	RETENCIÓN	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	0	0	0	0	0	MATRIMONIO O COHABITACIÓN FORZADA		1	ND	6.449379486	-71.75861086
359723		0000	00	00	27615	RIOSUCIO	CHOCO	URABA	DESCONOCIDA	GUERRILLA	FARC	0	1	0	0	1	0	0	0	0			1	ND	7.436631552	-77.11310959
359725		0000	00	00	25885	YACOPI	CUNDINAMARCA	MAGDALENA MEDIO	DESCONOCIDA	GUERRILLA	FARC	0	1	0	0	1	0	0	0	0			2	ND	5.459290341	-74.33802435
359726		0000	00	00	50001	VILLAVICENCIO	META	PIEDEMONTE LLANERO	ASALTO	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	0	0	0	0	0			2	ND	4.1238615	-73.62709204
359732		0000	00	00	73283	FRESNO	TOLIMA	NORTE DEL TOLIMA	COERCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			1	ND	5.153638261	-75.03562715
359733		0000	00	00	05895	ZARAGOZA	ANTIOQUIA	BAJO CAUCA ANTIOQUEÑO	DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	0	0	0	0	0			1	ND	7.488583075	-74.86707471
359754	CR119009	0000	00	00	05313	GRANADA	ANTIOQUIA	ORIENTE ANTIOQUEÑO	ASALTO	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	1	0	0	0	0	0	0	0			1	ND	6.142896667	-75.18444508
359755	CR119008	0000	00	00	05313	GRANADA	ANTIOQUIA	ORIENTE ANTIOQUEÑO	RETENCIÓN/EJECUCIÓN	GUERRILLA	ELN	0	0	0	0	0	0	0	0	1			1	ND	6.142896667	-75.18444508
359756	CR022045	0000	00	00	05679	SANTA BARBARA	ANTIOQUIA	SUROESTE ANTIOQUEÑO	ASALTO	AGENTE DEL ESTADO - GRUPO PARAMILITAR	NO APLICA	1	1	0	0	1	1	0	0	0			1	ND	5.875533398	-75.56735178
359757	CR018982	0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359758		0000	00	00	05490	NECOCLI	ANTIOQUIA	URABA	DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			2	ND	8.328099233	-76.74708198
359762		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	ASALTO	AGENTE DEL ESTADO	EJÉRCITO NACIONAL	0	1	0	0	0	0	0	0	0			1	ARMA DE FUEGO	4	-72
359766		0000	00	00	05051	ARBOLETES	ANTIOQUIA	URABA	RETENCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	1	0	1	1	1			1	ASFIXIA MEC NICA - OBJETO CONTUNDENTE	8.611245797	-76.28264752
359767		0000	00	00	47001	SANTA MARTA	MAGDALENA	SIERRA NEVADA DE SANTA MARTA	DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	0	0	0	0	0			1	ND	11.2294335	-74.19089412
359770		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	RETENCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	1			1	ND	4	-72
359771		0000	07	16	54810	TIBU	NORTE DE SANTANDER	CATATUMBO	RETENCIÓN	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	1	0	0	0	0			1	OBJETO CONTUNDENTE	8.639548853	-72.73591863
359772		0000	07	16	54810	TIBU	NORTE DE SANTANDER	CATATUMBO	RETENCIÓN	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	1	0	0	0	0			1	OBJETO CONTUNDENTE	8.639548853	-72.73591863
359773		0000	00	00	20178	CHIRIGUANA	CESAR	SERRANIA DEL PERIJA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	9.361189611	-73.60014444
359774		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359775		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359776		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359777		0000	00	00	25001	AGUA DE DIOS	CUNDINAMARCA	SUROCCIDENTE DE CUNDINAMARCA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4.375312017	-74.66921778
359778		0000	00	00	76001	CALI	VALLE DEL CAUCA	SUR DEL VALLE	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	3.414414305	-76.52156515
359779		0000	00	00	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4.65017303	-74.107359
359780		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	6.246715564	-75.58171333
359781		0000	00	00	19212	CORINTO	CAUCA	NORTE DEL CAUCA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	3.173815457	-76.26131419
359782		0000	00	00	05541	PENOL	ANTIOQUIA	ORIENTE ANTIOQUEÑO	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	6.219450549	-75.24282171
359783		0000	00	00	13030	ALTOS DEL ROSARIO	BOLIVAR	SUR DE BOLIVAR	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	8.791606399	-74.16504945
359784		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359785		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359786		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359787		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359788		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
